YEAR;TMAX;TMIN;TMED
1973;26.1;14.9;18.6
1973;26;9.9;18
1973;29;12.5;21.5
1973;29.3;19.2;22
1973;29.8;16.3;22.6
1973;31.2;18.1;23.9
1973;25;17.7;20.5
1973;20.5;11.5;14.1
1973;25.1;10;16.4
1973;25.8;11.4;18.5
1973;25;12.4;20
1973;27.2;18.5;21.6
1973;22.2;16.8;19.4
1973;26.3;14.4;19.4
1973;28;16.3;21.2
1973;24.6;14;17.4
1973;21.7;10.7;16.8
1973;22.1;12;17.2
1973;23.3;14.3;18.7
1973;22.8;11.8;17.2
1973;22.6;9.7;16.5
1973;23.6;9.5;17.2
1973;25.2;14;19.6
1973;26.4;15.4;20.7
1973;25.9;15;20.1
1973;23.2;15;17.6
1973;22.7;14;17.9
1973;23;14.9;18.9
1973;25.3;17.2;21.1
1973;23;18.2;20.2
1973;24;16.9;19.2
1973;24.8;14.6;18.6
1973;25.8;14;19.6
1973;27.9;14.3;20.5
1973;28.6;16.1;22.3
1973;29.7;17.5;22.9
1973;26.6;15.7;19.6
1973;19.7;7.9;14.9
1973;23.6;7;14.6
1973;26.6;10.5;18.8
1973;26.3;12.8;19.1
1973;26.3;11;19.1
1973;20;13;15.6
1973;17;8.3;12.3
1973;19;6.5;12.8
1973;22.6;11.5;16.8
1973;19.2;8.5;13.4
1973;19.1;6.4;13.5
1973;21.3;13;16.8
1973;15;4.2;10.2
1973;22.9;3.9;14.2
1973;25.7;9.5;17.3
1973;24;11;17.2
1973;18.4;6.8;13.3
1973;16.2;3.9;9.9
1973;19.5;5.2;12.6
1973;19.7;10.9;14.7
1973;16;4.9;10.6
1973;17.8;3.3;10.3
1973;24.4;6.6;14.6
1973;19.2;7.1;13.1
1973;23;8.3;14.9
1973;15.6;6.2;11.8
1973;18.4;2.1;11.6
1973;22.6;7.5;15.8
1973;21;10.5;15
1973;16.1;8;14
1973;17.5;9.2;14.6
1973;15.3;13.1;14.3
1973;15.2;11;14.3
1973;18.9;9.3;14.3
1973;16;6;11
1973;18;9.9;13.7
1973;20;8.6;13.2
1973;11.1;3.2;6.3
1973;13.6;0.9;8.9
1973;15.6;2.5;8.6
1973;18;5.2;10.8
1973;15.3;6.3;9.5
1973;16.2;3;8.7
1973;12.2;1.9;7.8
1973;13.5;8.8;10.2
1973;10.8;5.6;7.3
1973;10;4.9;7.2
1973;12.6;3;7.5
1973;13.6;-1.6;7.4
1973;15.6;4;9.3
1973;16.7;9.3;12
1973;17;7;10.7
1973;12.7;5.5;7.8
1973;14.1;-0.9;7.6
1973;15.5;6.6;11.1
1973;16.1;10.6;12.3
